type,title,pageUrl
article,Air Fryer Loaded Mashed Potato Cakes,https://www.allrecipes.com/recipe/8527072/air-fryer-loaded-mashed-potato-cakes/
article,Crab Rangoon in the Air Fryer,https://www.allrecipes.com/crab-rangoon-in-the-air-fryer-recipe-7511370
article,Super Easy Stir-Fried Cabbage,https://www.allrecipes.com/recipe/174210/super-easy-stir-fried-cabbage/
article,90-Second Keto Bread in a Mug,https://www.allrecipes.com/recipe/263032/90-second-keto-bread-in-a-mug/
article,Shrimp Tacos with Cilantro-Lime Crema,https://www.allrecipes.com/recipe/280916/shrimp-tacos-with-cilantro-lime-crema/
article,Air Fryer Blooming Onion,https://www.allrecipes.com/air-fryer-blooming-onion-recipe-7546676
article,Cilantro Shrimp Tacos,https://www.allrecipes.com/recipe/263110/cilantro-shrimp-tacos/
article,Air Fryer Chickpeas,https://www.allrecipes.com/recipe/8529798/air-fryer-chickpeas/
article,Caramel Apples,https://www.allrecipes.com/recipe/21130/caramel-apples/
article,Chicken Fra Diavolo,https://www.allrecipes.com/chicken-fra-diavolo-recipe-8383615
article,Easy and Quick Shrimp Tacos,https://www.allrecipes.com/recipe/263109/easy-and-quick-shrimp-tacos/
article,'Chinese Buffet' Green Beans,https://www.allrecipes.com/recipe/158854/chinese-buffet-green-beans/
article,Air Fryer Tempura Vegetables,https://www.allrecipes.com/air-fryer-tempura-vegetables-recipe-7510181
article,Baja Shrimp Tacos,https://www.allrecipes.com/recipe/262616/baja-shrimp-tacos/
article,Air Fryer Crispy Beef and Broccoli,https://www.allrecipes.com/air-fryer-crispy-beef-and-broccoli-recipe-7509498
article,Irish Tacos,https://www.allrecipes.com/recipe/216926/irish-tacos/
article,Mustard Chicken Thighs and Apples in White Wine and Cream Sauce,https://www.allrecipes.com/recipe/282691/mustard-chicken-thighs-and-apples-in-white-wine-and-cream-sauce/
article,Easy One-Skillet Chicken Thighs with Carrots,https://www.allrecipes.com/recipe/281246/easy-one-skillet-chicken-thighs-with-carrots/
